D,U,V
2,-44,-46
0,-44,-45
0,-44,-44
0,-44,-43
2,-44,-42
0,-44,-41
0,-44,-40
2,-44,-39
2,-44,-38
2,-44,-37
0,-44,-36
2,-44,-35
0,-44,-34
2,-44,-33
0,-44,-32
2,-44,-31
2,-44,-30
2,-44,-29
0,-44,-28
2,-44,-27
2,-44,-26
0,-44,-25
0,-44,-24
0,-44,-23
2,-44,-22
2,-44,-21
2,-44,-20
0,-44,-19
2,-44,-18
2,-44,-17
0,-44,-16
0,-43,-60
2,-43,-59
0,-43,-58
366,-43,-57
392,-43,-56
377,-43,-55
367,-43,-54
309,-43,-53
260,-43,-52
235,-43,-51
209,-43,-50
190,-43,-49
26,-43,-48
2,-43,-47
0,-43,-46
2,-43,-45
2,-43,-44
2,-43,-43
0,-43,-42
2,-43,-41
2,-43,-40
2,-43,-39
0,-43,-38
1,-43,-37
2,-43,-36
2,-43,-35
0,-43,-34
0,-43,-33
2,-43,-32
2,-43,-31
0,-43,-30
0,-43,-29
2,-43,-28
2,-43,-27
2,-43,-26
0,-43,-25
2,-43,-24
2,-43,-23
2,-43,-22
0,-43,-21
1,-43,-20
2,-43,-19
2,-43,-18
2,-43,-17
2,-43,-16
2,-42,-60
2,-42,-59
2,-42,-58
362,-42,-57
388,-42,-56
388,-42,-55
356,-42,-54
298,-42,-53
263,-42,-52
229,-42,-51
219,-42,-50
178,-42,-49
55,-42,-48
0,-42,-47
2,-42,-46
2,-42,-45
0,-42,-44
1,-42,-43
2,-42,-42
2,-42,-41
2,-42,-40
0,-42,-39
1,-42,-38
2,-42,-37
2,-42,-36
0,-42,-35
0,-42,-34
0,-42,-33
2,-42,-32
2,-42,-31
0,-42,-30
2,-42,-29
2,-42,-28
0,-42,-27
2,-42,-26
